Hyperparameter Tuning Results
----------------------------
Best Parameters: {'C': 5, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.02}
Best Cross-Validation F1 Score: 0.9524

All tested combinations:
Params: {'C': 5, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.1}, Mean F1: 0.8559, Std F1: 0.0580
Params: {'C': 10, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.01}, Mean F1: 0.9419, Std F1: 0.0562
Params: {'C': 10, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.02}, Mean F1: 0.9341, Std F1: 0.0610
Params: {'C': 10, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.05}, Mean F1: 0.9341, Std F1: 0.0610
Params: {'C': 10, 'class_weight': {0: 2, 1: 1}, 'gamma': 0.1}, Mean F1: 0.9235, Std F1: 0.0527
Params: {'C': 10, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.01}, Mean F1: 0.9093, Std F1: 0.0490
Params: {'C': 10, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.02}, Mean F1: 0.9015, Std F1: 0.0588
Params: {'C': 10, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.05}, Mean F1: 0.8886, Std F1: 0.0751
Params: {'C': 10, 'class_weight': {0: 3, 1: 1}, 'gamma': 0.1}, Mean F1: 0.9015, Std F1: 0.0588
Params: {'C': 10, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.01}, Mean F1: 0.8720, Std F1: 0.0554
Params: {'C': 10, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.02}, Mean F1: 0.8589, Std F1: 0.0576
Params: {'C': 10, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.05}, Mean F1: 0.8876, Std F1: 0.0743
Params: {'C': 10, 'class_weight': {0: 5, 1: 1}, 'gamma': 0.1}, Mean F1: 0.8851, Std F1: 0.0581
Params: {'C': 10, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.01}, Mean F1: 0.8558, Std F1: 0.0475
Params: {'C': 10, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.02}, Mean F1: 0.8442, Std F1: 0.0420
Params: {'C': 10, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.05}, Mean F1: 0.8690, Std F1: 0.0565
Params: {'C': 10, 'class_weight': {0: 10, 1: 1}, 'gamma': 0.1}, Mean F1: 0.8688, Std F1: 0.0448
